[2022-11-05 04:09:02.307633] Process 0. Episode 50, average_reward -0.080000
Episode 250: Total Loss of tensor([[1.3713]], grad_fn=<SubBackward0>)
[2022-11-05 04:21:05.008446] Process 0. Episode 250, average_reward -0.084000
Episode 250: Total Loss of tensor([[1.0444]], grad_fn=<SubBackward0>)
[2022-11-05 04:21:09.403914] Process 3. Episode 250, average_reward -0.088000
Episode 250: Total Loss of tensor([[6.8510]], grad_fn=<SubBackward0>)
[2022-11-05 04:21:15.716065] Process 1. Episode 250, average_reward -0.072000
Episode 250: Total Loss of tensor([[6.8306]], grad_fn=<SubBackward0>)
[2022-11-05 04:21:47.381797] Process 5. Episode 250, average_reward -0.068000
Episode 250: Total Loss of tensor([[-19.1662]], grad_fn=<SubBackward0>)
[2022-11-05 04:23:36.224130] Process 4. Episode 300, average_reward -0.073333
Episode 300: Total Loss of tensor([[5.0866]], grad_fn=<SubBackward0>)
[2022-11-05 04:23:50.083340] Process 0. Episode 300, average_reward -0.070000
Episode 300: Total Loss of tensor([[9.8894]], grad_fn=<SubBackward0>)
[2022-11-05 04:23:54.056366] Process 2. Episode 300, average_reward -0.070000
Episode 300: Total Loss of tensor([[1.8249]], grad_fn=<SubBackward0>)
[2022-11-05 04:23:58.082873] Process 3. Episode 300, average_reward -0.083333
Episode 300: Total Loss of tensor([[-3.4462]], grad_fn=<SubBackward0>)
[2022-11-05 04:24:00.761969] Process 1. Episode 300, average_reward -0.070000
Episode 300: Total Loss of tensor([[6.1963]], grad_fn=<SubBackward0>)
[2022-11-05 04:24:35.580609] Process 5. Episode 300, average_reward -0.080000
Episode 300: Total Loss of tensor([[37.4058]], grad_fn=<SubBackward0>)
[2022-11-05 04:26:16.602649] Process 4. Episode 350, average_reward -0.082857
Episode 350: Total Loss of tensor([[16.9740]], grad_fn=<SubBackward0>)
[2022-11-05 04:26:35.711079] Process 0. Episode 350, average_reward -0.074286
Episode 350: Total Loss of tensor([[-8.8511]], grad_fn=<SubBackward0>)
[2022-11-05 04:26:44.230499] Process 3. Episode 350, average_reward -0.074286
Episode 350: Total Loss of tensor([[10.0900]], grad_fn=<SubBackward0>)
[2022-11-05 04:26:48.076353] Process 1. Episode 350, average_reward -0.074286
Episode 350: Total Loss of tensor([[-1.8544]], grad_fn=<SubBackward0>)
[2022-11-05 04:26:51.707138] Process 2. Episode 350, average_reward -0.071429
Episode 350: Total Loss of tensor([[13.0597]], grad_fn=<SubBackward0>)
[2022-11-05 04:27:18.244825] Process 5. Episode 350, average_reward -0.080000
Episode 350: Total Loss of tensor([[28.1355]], grad_fn=<SubBackward0>)
[2022-11-05 04:28:54.433668] Process 4. Episode 400, average_reward -0.085000
Episode 400: Total Loss of tensor([[11.3837]], grad_fn=<SubBackward0>)
[2022-11-05 04:29:18.712386] Process 0. Episode 400, average_reward -0.070000
Episode 400: Total Loss of tensor([[-4.8867]], grad_fn=<SubBackward0>)
[2022-11-05 04:29:25.332172] Process 3. Episode 400, average_reward -0.080000
Episode 400: Total Loss of tensor([[2.8824]], grad_fn=<SubBackward0>)
[2022-11-05 04:29:31.131754] Process 1. Episode 400, average_reward -0.080000
Episode 400: Total Loss of tensor([[11.9146]], grad_fn=<SubBackward0>)
[2022-11-05 04:29:38.587643] Process 2. Episode 400, average_reward -0.080000
Episode 400: Total Loss of tensor([[2.9705]], grad_fn=<SubBackward0>)
[2022-11-05 04:30:12.754522] Process 5. Episode 400, average_reward -0.075000
Episode 400: Total Loss of tensor([[15.5223]], grad_fn=<SubBackward0>)
[2022-11-05 04:31:33.709356] Process 4. Episode 450, average_reward -0.086667
Episode 450: Total Loss of tensor([[-0.9731]], grad_fn=<SubBackward0>)
[2022-11-05 04:32:12.667107] Process 1. Episode 450, average_reward -0.075556
Episode 450: Total Loss of tensor([[-116.3055]], grad_fn=<SubBackward0>)
[2022-11-05 04:32:13.552817] Process 3. Episode 450, average_reward -0.077778
Episode 450: Total Loss of tensor([[-1.2415]], grad_fn=<SubBackward0>)
[2022-11-05 04:32:17.997691] Process 0. Episode 450, average_reward -0.068889
Episode 450: Total Loss of tensor([[-82.4274]], grad_fn=<SubBackward0>)
[2022-11-05 04:32:20.371212] Process 2. Episode 450, average_reward -0.082222
Episode 450: Total Loss of tensor([[3.1219]], grad_fn=<SubBackward0>)
[2022-11-05 04:33:08.564158] Process 5. Episode 450, average_reward -0.073333
Episode 450: Total Loss of tensor([[7.6369]], grad_fn=<SubBackward0>)
[2022-11-05 04:34:09.645131] Process 4. Episode 500, average_reward -0.080000
Episode 500: Total Loss of tensor([[-1.4461]], grad_fn=<SubBackward0>)
[2022-11-05 04:34:59.599273] Process 0. Episode 500, average_reward -0.074000
Episode 500: Total Loss of tensor([[12.5061]], grad_fn=<SubBackward0>)
[2022-11-05 04:35:02.799111] Process 3. Episode 500, average_reward -0.076000
Episode 500: Total Loss of tensor([[-5.7461]], grad_fn=<SubBackward0>)
[2022-11-05 04:35:04.056380] Process 1. Episode 500, average_reward -0.074000
Episode 500: Total Loss of tensor([[-6.4080]], grad_fn=<SubBackward0>)
[2022-11-05 04:35:06.728428] Process 2. Episode 500, average_reward -0.082000
Episode 500: Total Loss of tensor([[24.8049]], grad_fn=<SubBackward0>)
[2022-11-05 04:35:55.089521] Process 5. Episode 500, average_reward -0.076000
Episode 500: Total Loss of tensor([[13.6316]], grad_fn=<SubBackward0>)
[2022-11-05 04:36:46.962594] Process 4. Episode 550, average_reward -0.080000
Episode 550: Total Loss of tensor([[12.2843]], grad_fn=<SubBackward0>)
[2022-11-05 04:37:42.281793] Process 0. Episode 550, average_reward -0.074545
Episode 550: Total Loss of tensor([[3.3878]], grad_fn=<SubBackward0>)
[2022-11-05 04:37:50.518696] Process 1. Episode 550, average_reward -0.074545
Episode 550: Total Loss of tensor([[-6.4048]], grad_fn=<SubBackward0>)
[2022-11-05 04:38:00.072719] Process 2. Episode 550, average_reward -0.081818
Episode 550: Total Loss of tensor([[16.7580]], grad_fn=<SubBackward0>)
[2022-11-05 04:38:00.128198] Process 3. Episode 550, average_reward -0.076364
Episode 550: Total Loss of tensor([[20.6122]], grad_fn=<SubBackward0>)
[2022-11-05 04:38:35.411723] Process 5. Episode 550, average_reward -0.076364
Episode 550: Total Loss of tensor([[3.7891]], grad_fn=<SubBackward0>)
[2022-11-05 04:39:21.336700] Process 4. Episode 600, average_reward -0.075000
Episode 600: Total Loss of tensor([[0.1818]], grad_fn=<SubBackward0>)
[2022-11-05 04:40:26.926010] Process 0. Episode 600, average_reward -0.073333
Episode 600: Total Loss of tensor([[9.6790]], grad_fn=<SubBackward0>)
[2022-11-05 04:40:27.462046] Process 1. Episode 600, average_reward -0.073333
Episode 600: Total Loss of tensor([[10.8388]], grad_fn=<SubBackward0>)
[2022-11-05 04:40:37.210206] Process 2. Episode 600, average_reward -0.081667
Episode 600: Total Loss of tensor([[8.9762]], grad_fn=<SubBackward0>)
[2022-11-05 04:40:38.026363] Process 3. Episode 600, average_reward -0.073333
Episode 600: Total Loss of tensor([[6.9144]], grad_fn=<SubBackward0>)
[2022-11-05 04:41:10.591115] Process 5. Episode 600, average_reward -0.073333
Episode 600: Total Loss of tensor([[8.4500]], grad_fn=<SubBackward0>)
[2022-11-05 04:41:55.065459] Process 4. Episode 650, average_reward -0.078462
Episode 650: Total Loss of tensor([[23.4181]], grad_fn=<SubBackward0>)
[2022-11-05 04:43:00.971329] Process 0. Episode 650, average_reward -0.069231
Episode 650: Total Loss of tensor([[-7.7590]], grad_fn=<SubBackward0>)
[2022-11-05 04:43:14.264851] Process 2. Episode 650, average_reward -0.081538
Episode 650: Total Loss of tensor([[-0.2542]], grad_fn=<SubBackward0>)
[2022-11-05 04:43:18.551100] Process 1. Episode 650, average_reward -0.072308
Episode 650: Total Loss of tensor([[4.8950]], grad_fn=<SubBackward0>)
[2022-11-05 04:43:29.931554] Process 3. Episode 650, average_reward -0.070769
Episode 650: Total Loss of tensor([[4.0513]], grad_fn=<SubBackward0>)
[2022-11-05 04:43:56.963142] Process 5. Episode 650, average_reward -0.070769
Episode 650: Total Loss of tensor([[8.5085]], grad_fn=<SubBackward0>)
[2022-11-05 04:44:28.865342] Process 4. Episode 700, average_reward -0.081429
Episode 700: Total Loss of tensor([[4.6702]], grad_fn=<SubBackward0>)
[2022-11-05 04:45:39.989909] Process 0. Episode 700, average_reward -0.067143
Episode 700: Total Loss of tensor([[-138.8691]], grad_fn=<SubBackward0>)
[2022-11-05 04:45:54.438942] Process 2. Episode 700, average_reward -0.081429
Episode 700: Total Loss of tensor([[-4.6717]], grad_fn=<SubBackward0>)
[2022-11-05 04:46:05.499267] Process 1. Episode 700, average_reward -0.070000
Episode 700: Total Loss of tensor([[11.9685]], grad_fn=<SubBackward0>)
[2022-11-05 04:46:13.346795] Process 3. Episode 700, average_reward -0.068571
Episode 700: Total Loss of tensor([[-4.1184]], grad_fn=<SubBackward0>)
[2022-11-05 04:46:46.288268] Process 5. Episode 700, average_reward -0.065714
Episode 700: Total Loss of tensor([[1.9396]], grad_fn=<SubBackward0>)
[2022-11-05 04:47:04.047461] Process 4. Episode 750, average_reward -0.078667
Episode 750: Total Loss of tensor([[8.9828]], grad_fn=<SubBackward0>)
[2022-11-05 04:48:20.564958] Process 0. Episode 750, average_reward -0.065333
Episode 750: Total Loss of tensor([[-58.9648]], grad_fn=<SubBackward0>)
[2022-11-05 04:48:47.601311] Process 1. Episode 750, average_reward -0.066667
Episode 750: Total Loss of tensor([[8.5853]], grad_fn=<SubBackward0>)
[2022-11-05 04:48:50.816533] Process 2. Episode 750, average_reward -0.084000
Episode 750: Total Loss of tensor([[6.8842]], grad_fn=<SubBackward0>)
[2022-11-05 04:48:54.882364] Process 3. Episode 750, average_reward -0.066667
Episode 750: Total Loss of tensor([[21.4806]], grad_fn=<SubBackward0>)
[2022-11-05 04:49:30.764130] Process 5. Episode 750, average_reward -0.069333
Episode 750: Total Loss of tensor([[-134.6707]], grad_fn=<SubBackward0>)
[2022-11-05 04:49:39.431351] Process 4. Episode 800, average_reward -0.076250
Episode 800: Total Loss of tensor([[1.2474]], grad_fn=<SubBackward0>)
[2022-11-05 04:51:04.201115] Process 0. Episode 800, average_reward -0.065000
Episode 800: Total Loss of tensor([[-5.3935]], grad_fn=<SubBackward0>)
[2022-11-05 04:51:28.002063] Process 1. Episode 800, average_reward -0.067500
Episode 800: Total Loss of tensor([[-5.1669]], grad_fn=<SubBackward0>)
[2022-11-05 04:51:35.731460] Process 2. Episode 800, average_reward -0.082500
Episode 800: Total Loss of tensor([[1.1691]], grad_fn=<SubBackward0>)
[2022-11-05 04:51:50.707788] Process 3. Episode 800, average_reward -0.063750
Episode 800: Total Loss of tensor([[6.7015]], grad_fn=<SubBackward0>)
[2022-11-05 04:52:11.509116] Process 5. Episode 800, average_reward -0.066250
Episode 800: Total Loss of tensor([[15.1452]], grad_fn=<SubBackward0>)
[2022-11-05 04:52:16.266476] Process 4. Episode 850, average_reward -0.072941
Episode 850: Total Loss of tensor([[3.1515]], grad_fn=<SubBackward0>)
[2022-11-05 04:53:42.802385] Process 0. Episode 850, average_reward -0.068235
Episode 850: Total Loss of tensor([[-14.8182]], grad_fn=<SubBackward0>)
[2022-11-05 04:54:06.859333] Process 1. Episode 850, average_reward -0.067059
Episode 850: Total Loss of tensor([[0.1130]], grad_fn=<SubBackward0>)
[2022-11-05 04:54:33.212953] Process 2. Episode 850, average_reward -0.078824
Episode 850: Total Loss of tensor([[-1.0798]], grad_fn=<SubBackward0>)
[2022-11-05 04:54:43.469720] Process 3. Episode 850, average_reward -0.063529
Episode 850: Total Loss of tensor([[6.4448]], grad_fn=<SubBackward0>)
[2022-11-05 04:54:48.563090] Process 4. Episode 900, average_reward -0.070000
Episode 900: Total Loss of tensor([[5.2375]], grad_fn=<SubBackward0>)
[2022-11-05 04:54:55.652765] Process 5. Episode 850, average_reward -0.065882
Episode 850: Total Loss of tensor([[4.1766]], grad_fn=<SubBackward0>)
[2022-11-05 04:56:23.564356] Process 0. Episode 900, average_reward -0.067778
Episode 900: Total Loss of tensor([[24.1481]], grad_fn=<SubBackward0>)
[2022-11-05 04:56:45.375666] Process 1. Episode 900, average_reward -0.066667
Episode 900: Total Loss of tensor([[13.0858]], grad_fn=<SubBackward0>)
[2022-11-05 04:57:22.359005] Process 4. Episode 950, average_reward -0.067368
Episode 950: Total Loss of tensor([[11.7054]], grad_fn=<SubBackward0>)
[2022-11-05 04:57:33.262131] Process 2. Episode 900, average_reward -0.080000
Episode 900: Total Loss of tensor([[16.0942]], grad_fn=<SubBackward0>)
[2022-11-05 04:57:33.278943] Process 5. Episode 900, average_reward -0.067778
Episode 900: Total Loss of tensor([[11.3313]], grad_fn=<SubBackward0>)
[2022-11-05 04:57:36.643258] Process 3. Episode 900, average_reward -0.065556
Episode 900: Total Loss of tensor([[7.2155]], grad_fn=<SubBackward0>)
[2022-11-05 04:59:12.147267] Process 0. Episode 950, average_reward -0.065263
Episode 950: Total Loss of tensor([[13.6865]], grad_fn=<SubBackward0>)
[2022-11-05 04:59:41.916550] Process 1. Episode 950, average_reward -0.065263
Episode 950: Total Loss of tensor([[-10.6118]], grad_fn=<SubBackward0>)
[2022-11-05 04:59:52.414642] Process 4. Episode 1000, average_reward -0.068000
Episode 1000: Total Loss of tensor([[-3.5765]], grad_fn=<SubBackward0>)
[2022-11-05 05:00:08.497289] Process 5. Episode 950, average_reward -0.068421
Episode 950: Total Loss of tensor([[7.1699]], grad_fn=<SubBackward0>)
[2022-11-05 05:00:18.347111] Process 3. Episode 950, average_reward -0.065263
Episode 950: Total Loss of tensor([[2.4884]], grad_fn=<SubBackward0>)
[2022-11-05 05:00:29.679624] Process 2. Episode 950, average_reward -0.081053
Episode 950: Total Loss of tensor([[-0.7994]], grad_fn=<SubBackward0>)
[2022-11-05 05:01:54.544882] Process 0. Episode 1000, average_reward -0.063000
Episode 1000: Total Loss of tensor([[6.0227]], grad_fn=<SubBackward0>)
[2022-11-05 05:02:17.677990] Process 1. Episode 1000, average_reward -0.064000
Episode 1000: Total Loss of tensor([[-1.6724]], grad_fn=<SubBackward0>)
[2022-11-05 05:02:24.946026] Process 4. Episode 1050, average_reward -0.068571
Episode 1050: Total Loss of tensor([[-1.9362]], grad_fn=<SubBackward0>)
[2022-11-05 05:02:48.993768] Process 5. Episode 1000, average_reward -0.067000
Episode 1000: Total Loss of tensor([[0.3321]], grad_fn=<SubBackward0>)
[2022-11-05 05:02:58.225554] Process 3. Episode 1000, average_reward -0.063000
Episode 1000: Total Loss of tensor([[2.0698]], grad_fn=<SubBackward0>)
[2022-11-05 05:03:25.878588] Process 2. Episode 1000, average_reward -0.077000
Episode 1000: Total Loss of tensor([[25.2082]], grad_fn=<SubBackward0>)
[2022-11-05 05:04:28.959642] Process 0. Episode 1050, average_reward -0.067619
Episode 1050: Total Loss of tensor([[13.9043]], grad_fn=<SubBackward0>)
[2022-11-05 05:04:45.344303] Process 1. Episode 1050, average_reward -0.067619
Episode 1050: Total Loss of tensor([[14.6967]], grad_fn=<SubBackward0>)
[2022-11-05 05:04:51.289434] Process 4. Episode 1100, average_reward -0.073636
Episode 1100: Total Loss of tensor([[12.9133]], grad_fn=<SubBackward0>)
[2022-11-05 05:05:25.008975] Process 5. Episode 1050, average_reward -0.065714
Episode 1050: Total Loss of tensor([[5.5856]], grad_fn=<SubBackward0>)
[2022-11-05 05:05:35.037266] Process 3. Episode 1050, average_reward -0.062857
Episode 1050: Total Loss of tensor([[5.9974]], grad_fn=<SubBackward0>)
[2022-11-05 05:06:06.757212] Process 2. Episode 1050, average_reward -0.080952
Episode 1050: Total Loss of tensor([[16.7462]], grad_fn=<SubBackward0>)
[2022-11-05 05:07:02.722521] Process 0. Episode 1100, average_reward -0.067273
Episode 1100: Total Loss of tensor([[-0.5017]], grad_fn=<SubBackward0>)
[2022-11-05 05:07:12.001294] Process 1. Episode 1100, average_reward -0.066364
Episode 1100: Total Loss of tensor([[10.6614]], grad_fn=<SubBackward0>)
[2022-11-05 05:07:14.195568] Process 4. Episode 1150, average_reward -0.073043
Episode 1150: Total Loss of tensor([[20.9922]], grad_fn=<SubBackward0>)
[2022-11-05 05:07:48.443295] Process 5. Episode 1100, average_reward -0.066364
Episode 1100: Total Loss of tensor([[-55.8565]], grad_fn=<SubBackward0>)
[2022-11-05 05:08:09.348542] Process 3. Episode 1100, average_reward -0.065455
Episode 1100: Total Loss of tensor([[0.5211]], grad_fn=<SubBackward0>)
[2022-11-05 05:08:52.734416] Process 2. Episode 1100, average_reward -0.081818
Episode 1100: Total Loss of tensor([[-37.0304]], grad_fn=<SubBackward0>)
[2022-11-05 05:09:32.390388] Process 0. Episode 1150, average_reward -0.065217
Episode 1150: Total Loss of tensor([[2.5717]], grad_fn=<SubBackward0>)
[2022-11-05 05:09:32.612476] Process 4. Episode 1200, average_reward -0.071667
Episode 1200: Total Loss of tensor([[10.6735]], grad_fn=<SubBackward0>)
[2022-11-05 05:09:40.324368] Process 1. Episode 1150, average_reward -0.068696
Episode 1150: Total Loss of tensor([[-3.0497]], grad_fn=<SubBackward0>)
[2022-11-05 05:10:11.831321] Process 5. Episode 1150, average_reward -0.068696
Episode 1150: Total Loss of tensor([[10.5466]], grad_fn=<SubBackward0>)
[2022-11-05 05:10:38.204418] Process 3. Episode 1150, average_reward -0.065217
Episode 1150: Total Loss of tensor([[8.0119]], grad_fn=<SubBackward0>)
[2022-11-05 05:11:34.349442] Process 2. Episode 1150, average_reward -0.081739
Episode 1150: Total Loss of tensor([[-0.3258]], grad_fn=<SubBackward0>)
[2022-11-05 05:11:56.023256] Process 4. Episode 1250, average_reward -0.070400
Episode 1250: Total Loss of tensor([[11.0971]], grad_fn=<SubBackward0>)
[2022-11-05 05:12:03.522018] Process 0. Episode 1200, average_reward -0.066667
Episode 1200: Total Loss of tensor([[9.9401]], grad_fn=<SubBackward0>)
[2022-11-05 05:12:08.862540] Process 1. Episode 1200, average_reward -0.072500
Episode 1200: Total Loss of tensor([[-8.3624]], grad_fn=<SubBackward0>)
[2022-11-05 05:12:33.125030] Process 5. Episode 1200, average_reward -0.069167
Episode 1200: Total Loss of tensor([[8.3129]], grad_fn=<SubBackward0>)
[2022-11-05 05:13:20.703636] Process 3. Episode 1200, average_reward -0.065833
Episode 1200: Total Loss of tensor([[13.6635]], grad_fn=<SubBackward0>)
[2022-11-05 05:14:16.122145] Process 2. Episode 1200, average_reward -0.081667
Episode 1200: Total Loss of tensor([[3.0546]], grad_fn=<SubBackward0>)
[2022-11-05 05:14:17.339037] Process 4. Episode 1300, average_reward -0.072308
Episode 1300: Total Loss of tensor([[3.2343]], grad_fn=<SubBackward0>)
[2022-11-05 05:14:33.432448] Process 0. Episode 1250, average_reward -0.066400
Episode 1250: Total Loss of tensor([[3.3536]], grad_fn=<SubBackward0>)
[2022-11-05 05:14:46.914081] Process 1. Episode 1250, average_reward -0.074400
Episode 1250: Total Loss of tensor([[-8.1622]], grad_fn=<SubBackward0>)
[2022-11-05 05:14:53.617955] Process 5. Episode 1250, average_reward -0.068000
Episode 1250: Total Loss of tensor([[-3.8589]], grad_fn=<SubBackward0>)
[2022-11-05 05:15:55.948365] Process 3. Episode 1250, average_reward -0.068800
Episode 1250: Total Loss of tensor([[-0.1738]], grad_fn=<SubBackward0>)
[2022-11-05 05:16:38.204708] Process 4. Episode 1350, average_reward -0.073333
Episode 1350: Total Loss of tensor([[1.2190]], grad_fn=<SubBackward0>)
[2022-11-05 05:17:01.157946] Process 2. Episode 1250, average_reward -0.081600
Episode 1250: Total Loss of tensor([[7.4493]], grad_fn=<SubBackward0>)
[2022-11-05 05:17:05.532194] Process 0. Episode 1300, average_reward -0.066154
Episode 1300: Total Loss of tensor([[-0.6369]], grad_fn=<SubBackward0>)
[2022-11-05 05:17:15.925552] Process 5. Episode 1300, average_reward -0.070769
Episode 1300: Total Loss of tensor([[3.2791]], grad_fn=<SubBackward0>)
[2022-11-05 05:17:19.696659] Process 1. Episode 1300, average_reward -0.075385
Episode 1300: Total Loss of tensor([[20.8328]], grad_fn=<SubBackward0>)
[2022-11-05 05:18:28.789065] Process 3. Episode 1300, average_reward -0.068462
Episode 1300: Total Loss of tensor([[5.7083]], grad_fn=<SubBackward0>)
[2022-11-05 05:19:01.705922] Process 4. Episode 1400, average_reward -0.072857
Episode 1400: Total Loss of tensor([[8.7303]], grad_fn=<SubBackward0>)
[2022-11-05 05:19:34.186722] Process 5. Episode 1350, average_reward -0.071852
Episode 1350: Total Loss of tensor([[2.6409]], grad_fn=<SubBackward0>)
[2022-11-05 05:19:35.634163] Process 2. Episode 1300, average_reward -0.080000
Episode 1300: Total Loss of tensor([[12.1281]], grad_fn=<SubBackward0>)
[2022-11-05 05:19:42.701698] Process 0. Episode 1350, average_reward -0.068889
Episode 1350: Total Loss of tensor([[-81.5147]], grad_fn=<SubBackward0>)
[2022-11-05 05:20:01.030820] Process 1. Episode 1350, average_reward -0.074074
Episode 1350: Total Loss of tensor([[0.2040]], grad_fn=<SubBackward0>)
[2022-11-05 05:20:59.200362] Process 3. Episode 1350, average_reward -0.068889
Episode 1350: Total Loss of tensor([[4.0807]], grad_fn=<SubBackward0>)
[2022-11-05 05:21:27.136269] Process 4. Episode 1450, average_reward -0.073793
Episode 1450: Total Loss of tensor([[13.8147]], grad_fn=<SubBackward0>)
[2022-11-05 05:21:54.724038] Process 5. Episode 1400, average_reward -0.072143
Episode 1400: Total Loss of tensor([[8.4598]], grad_fn=<SubBackward0>)
[2022-11-05 05:22:04.854827] Process 2. Episode 1350, average_reward -0.080000
Episode 1350: Total Loss of tensor([[23.9980]], grad_fn=<SubBackward0>)
[2022-11-05 05:22:27.449663] Process 0. Episode 1400, average_reward -0.068571
Episode 1400: Total Loss of tensor([[-4.0515]], grad_fn=<SubBackward0>)
[2022-11-05 05:22:36.507171] Process 1. Episode 1400, average_reward -0.075714
Episode 1400: Total Loss of tensor([[0.6142]], grad_fn=<SubBackward0>)
[2022-11-05 05:23:33.409430] Process 3. Episode 1400, average_reward -0.068571
Episode 1400: Total Loss of tensor([[2.5373]], grad_fn=<SubBackward0>)
[2022-11-05 05:23:46.983859] Process 4. Episode 1500, average_reward -0.074000
Episode 1500: Total Loss of tensor([[7.3197]], grad_fn=<SubBackward0>)
[2022-11-05 05:24:22.851858] Process 5. Episode 1450, average_reward -0.071724
Episode 1450: Total Loss of tensor([[0.3586]], grad_fn=<SubBackward0>)
[2022-11-05 05:24:30.040119] Process 2. Episode 1400, average_reward -0.077857
Episode 1400: Total Loss of tensor([[-140.6222]], grad_fn=<SubBackward0>)
[2022-11-05 05:25:01.841298] Process 0. Episode 1450, average_reward -0.068966
Episode 1450: Total Loss of tensor([[-135.5982]], grad_fn=<SubBackward0>)
[2022-11-05 05:25:09.075728] Process 1. Episode 1450, average_reward -0.074483
Episode 1450: Total Loss of tensor([[20.5452]], grad_fn=<SubBackward0>)
[2022-11-05 05:26:07.630179] Process 3. Episode 1450, average_reward -0.068966
Episode 1450: Total Loss of tensor([[6.5353]], grad_fn=<SubBackward0>)
[2022-11-05 05:26:11.198003] Process 4. Episode 1550, average_reward -0.074194
Episode 1550: Total Loss of tensor([[19.6754]], grad_fn=<SubBackward0>)
[2022-11-05 05:26:51.659360] Process 5. Episode 1500, average_reward -0.070000
Episode 1500: Total Loss of tensor([[1.8878]], grad_fn=<SubBackward0>)
[2022-11-05 05:26:56.812226] Process 2. Episode 1450, average_reward -0.077931
Episode 1450: Total Loss of tensor([[4.9651]], grad_fn=<SubBackward0>)
[2022-11-05 05:27:30.785048] Process 0. Episode 1500, average_reward -0.069333
Episode 1500: Total Loss of tensor([[-2.2500]], grad_fn=<SubBackward0>)
[2022-11-05 05:27:40.280235] Process 1. Episode 1500, average_reward -0.073333
